kode_negara,jumlah_koloni,produksi_madu_per_koloni,total_produksi,stok(pon),harga_per_pon,nilai_total_produksi,tahun
OH,14000.0,61,854000.0,376000.0,1.77,1512000.0,2007
OR,46000.0,43,1978000.0,1088000.0,1.31,2591000.0,2007
PA,25000.0,42,1050000.0,326000.0,1.7,1785000.0,2007
SD,255000.0,52,13260000.0,10608000.0,1.02,13525000.0,2007
TN,7000.0,65,455000.0,114000.0,1.99,905000.0,2007
TX,105000.0,82,8610000.0,1550000.0,0.96,8266000.0,2007
UT,28000.0,42,1176000.0,270000.0,1.13,1329000.0,2007
VT,5000.0,64,320000.0,96000.0,1.7,544000.0,2007
VA,6000.0,46,276000.0,63000.0,2.43,671000.0,2007
WA,46000.0,44,2024000.0,648000.0,1.25,2530000.0,2007
WV,6000.0,48,288000.0,95000.0,2.09,602000.0,2007
WI,60000.0,84,5040000.0,3024000.0,1.22,6149000.0,2007
WY,43000.0,80,3440000.0,894000.0,1.0,3440000.0,2007
AL,9000.0,66,594000.0,214000.0,1.9,1129000.0,2008
AZ,25000.0,64,1600000.0,336000.0,1.26,2016000.0,2008
AR,28000.0,75,2100000.0,525000.0,1.35,2835000.0,2008
CA,360000.0,51,18360000.0,4039000.0,1.39,25520000.0,2008
CO,27000.0,45,1215000.0,656000.0,1.51,1835000.0,2008
FL,150000.0,79,11850000.0,1304000.0,1.32,15642000.0,2008
GA,65000.0,71,4615000.0,369000.0,1.52,7015000.0,2008
HI,10000.0,90,900000.0,225000.0,1.59,1431000.0,2008
ID,90000.0,40,3600000.0,1440000.0,1.46,5256000.0,2008
IL,8000.0,56,448000.0,116000.0,2.59,1160000.0,2008
IN,7000.0,67,469000.0,150000.0,1.68,788000.0,2008
IA,24000.0,62,1488000.0,580000.0,1.58,2351000.0,2008
KS,10000.0,61,610000.0,128000.0,1.55,946000.0,2008
KY,4000.0,39,156000.0,27000.0,2.44,381000.0,2008
LA,40000.0,77,3080000.0,493000.0,1.36,4189000.0,2008
ME,7000.0,42,294000.0,79000.0,1.57,462000.0,2008
MI,71000.0,73,5183000.0,2021000.0,1.44,7464000.0,2008
MN,122000.0,78,9516000.0,2569000.0,1.39,13227000.0,2008
MS,14000.0,98,1372000.0,110000.0,1.3,1784000.0,2008
MO,11000.0,53,583000.0,152000.0,1.68,979000.0,2008
MT,134000.0,70,9380000.0,4596000.0,1.37,12851000.0,2008
NE,36000.0,67,2412000.0,1254000.0,1.45,3497000.0,2008
NV,10000.0,29,290000.0,52000.0,1.42,412000.0,2008
NJ,9000.0,40,360000.0,122000.0,1.62,583000.0,2008
NM,6000.0,48,288000.0,95000.0,1.48,426000.0,2008
NY,50000.0,70,3500000.0,1260000.0,1.65,5775000.0,2008
NC,12000.0,52,624000.0,137000.0,2.18,1360000.0,2008
ND,400000.0,90,36000000.0,8640000.0,1.36,48960000.0,2008
OH,14000.0,53,742000.0,371000.0,1.68,1247000.0,2008
OR,50000.0,43,2150000.0,1097000.0,1.41,3032000.0,2008
PA,23000.0,48,1104000.0,276000.0,1.65,1822000.0,2008
SD,225000.0,95,21375000.0,11970000.0,1.34,28643000.0,2008
TN,7000.0,61,427000.0,149000.0,2.09,892000.0,2008
TX,77000.0,64,4928000.0,1380000.0,1.34,6604000.0,2008
UT,28000.0,48,1344000.0,242000.0,1.57,2110000.0,2008
VT,5000.0,66,330000.0,119000.0,2.2,726000.0,2008
VA,6000.0,42,252000.0,45000.0,2.42,610000.0,2008
WA,49000.0,44,2156000.0,862000.0,1.51,3256000.0,2008
WV,6000.0,43,258000.0,49000.0,2.16,557000.0,2008
WI,58000.0,80,4640000.0,2366000.0,1.5,6960000.0,2008
WY,39000.0,61,2379000.0,381000.0,1.37,3259000.0,2008
AL,9000.0,50,450000.0,68000.0,1.86,837000.0,2009
AZ,20000.0,52,1040000.0,562000.0,1.45,1508000.0,2009
AR,24000.0,57,1368000.0,301000.0,1.42,1943000.0,2009
CA,355000.0,33,11715000.0,2109000.0,1.39,16284000.0,2009
CO,28000.0,53,1484000.0,326000.0,1.43,2122000.0,2009
FL,170000.0,68,11560000.0,1618000.0,1.42,16415000.0,2009
GA,65000.0,41,2665000.0,346000.0,1.47,3918000.0,2009
HI,10000.0,95,950000.0,323000.0,1.76,1672000.0,2009
ID,103000.0,46,4738000.0,1706000.0,1.52,7202000.0,2009
IL,8000.0,34,272000.0,57000.0,2.55,694000.0,2009
IN,9000.0,32,288000.0,101000.0,2.02,582000.0,2009
IA,26000.0,42,1092000.0,339000.0,1.6,1747000.0,2009
KS,9000.0,63,567000.0,164000.0,1.85,1049000.0,2009
KY,5000.0,35,175000.0,25000.0,2.71,474000.0,2009
LA,37000.0,103,3811000.0,610000.0,1.36,5183000.0,2009
ME,6000.0,50,300000.0,51000.0,1.95,585000.0,2009
MI,66000.0,60,3960000.0,1505000.0,1.55,6138000.0,2009
MN,122000.0,65,7930000.0,1427000.0,1.44,11419000.0,2009
MS,14000.0,104,1456000.0,87000.0,1.32,1922000.0,2009
MO,11000.0,47,517000.0,57000.0,1.99,1029000.0,2009
MT,146000.0,70,10220000.0,3577000.0,1.46,14921000.0,2009
NE,48000.0,56,2688000.0,1102000.0,1.46,3924000.0,2009
NJ,11000.0,32,352000.0,70000.0,2.36,831000.0,2009
NM,7000.0,60,420000.0,143000.0,1.59,668000.0,2009
NY,45000.0,65,2925000.0,936000.0,1.93,5645000.0,2009
NC,11000.0,45,495000.0,84000.0,2.57,1272000.0,2009
ND,450000.0,77,34650000.0,7623000.0,1.38,47817000.0,2009
OH,11000.0,50,550000.0,132000.0,2.81,1546000.0,2009
OR,55000.0,34,1870000.0,767000.0,1.54,2880000.0,2009
PA,21000.0,40,840000.0,319000.0,2.03,1705000.0,2009
SD,270000.0,66,17820000.0,6237000.0,1.42,25304000.0,2009
TN,7000.0,51,357000.0,86000.0,2.37,846000.0,2009
TX,89000.0,63,5607000.0,1065000.0,1.39,7794000.0,2009
UT,26000.0,38,988000.0,198000.0,1.46,1442000.0,2009
VT,5000.0,49,245000.0,69000.0,2.01,492000.0,2009
VA,6000.0,39,234000.0,56000.0,3.45,807000.0,2009
WA,62000.0,44,2728000.0,1064000.0,1.58,4310000.0,2009
WV,5000.0,37,185000.0,33000.0,2.6,481000.0,2009
WI,63000.0,60,3780000.0,1588000.0,1.58,5972000.0,2009
WY,37000.0,48,1776000.0,391000.0,1.43,2540000.0,2009
AL,9000.0,54,486000.0,73000.0,2.4,1166000.0,2010
AZ,24000.0,77,1848000.0,665000.0,1.52,2809000.0,2010
AR,25000.0,60,1500000.0,360000.0,1.47,2205000.0,2010
CA,410000.0,67,27470000.0,6318000.0,1.55,42579000.0,2010
CO,34000.0,56,1904000.0,533000.0,1.52,2894000.0,2010
FL,200000.0,69,13800000.0,1794000.0,1.56,21528000.0,2010
GA,55000.0,46,2530000.0,152000.0,1.67,4225000.0,2010
HI,10000.0,77,770000.0,239000.0,2.75,2118000.0,2010
ID,97000.0,27,2619000.0,1179000.0,1.61,4217000.0,2010
IL,9000.0,41,369000.0,92000.0,2.78,1026000.0,2010
IN,10000.0,43,430000.0,151000.0,2.23,959000.0,2010
IA,27000.0,49,1323000.0,463000.0,1.92,2540000.0,2010
KS,9000.0,52,468000.0,103000.0,2.02,945000.0,2010
KY,5000.0,67,335000.0,67000.0,2.72,911000.0,2010
LA,36000.0,80,2880000.0,288000.0,1.5,4320000.0,2010
ME,5000.0,41,205000.0,33000.0,2.05,420000.0,2010
MI,71000.0,58,4118000.0,1524000.0,1.67,6877000.0,2010
MN,128000.0,66,8448000.0,1774000.0,1.55,13094000.0,2010
MS,16000.0,98,1568000.0,78000.0,1.44,2258000.0,2010
MO,11000.0,52,572000.0,92000.0,1.8,1030000.0,2010
MT,157000.0,74,11618000.0,2905000.0,1.58,18356000.0,2010
NE,41000.0,55,2255000.0,902000.0,1.51,3405000.0,2010
NJ,13000.0,35,455000.0,73000.0,1.9,865000.0,2010
NM,7000.0,66,462000.0,157000.0,1.58,730000.0,2010
NY,45000.0,64,2880000.0,1123000.0,1.96,5645000.0,2010
NC,13000.0,46,598000.0,144000.0,2.66,1591000.0,2010
ND,510000.0,91,46410000.0,12995000.0,1.5,69615000.0,2010
OH,18000.0,62,1116000.0,346000.0,2.28,2544000.0,2010
OR,59000.0,39,2301000.0,874000.0,1.63,3751000.0,2010
PA,30000.0,37,1110000.0,377000.0,2.13,2364000.0,2010
SD,265000.0,58,15370000.0,4765000.0,1.51,23209000.0,2010
TN,8000.0,63,504000.0,106000.0,2.5,1260000.0,2010
TX,100000.0,72,7200000.0,792000.0,1.51,10872000.0,2010
UT,26000.0,30,780000.0,195000.0,1.53,1193000.0,2010
VT,4000.0,65,260000.0,73000.0,3.1,806000.0,2010
VA,5000.0,37,185000.0,37000.0,3.32,614000.0,2010
WA,71000.0,37,2627000.0,1077000.0,1.57,4124000.0,2010
WV,5000.0,40,200000.0,40000.0,2.39,478000.0,2010
WI,64000.0,64,4096000.0,1556000.0,1.68,6881000.0,2010
WY,34000.0,36,1224000.0,282000.0,1.59,1946000.0,2010
AL,9000.0,50,450000.0,63000.0,2.51,1130000.0,2011
AZ,23000.0,53,1219000.0,427000.0,1.55,1889000.0,2011
AR,22000.0,64,1408000.0,239000.0,1.62,2281000.0,2011
CA,370000.0,48,17760000.0,3730000.0,1.65,29304000.0,2011
CO,31000.0,55,1705000.0,443000.0,2.0,3410000.0,2011
FL,180000.0,61,10980000.0,988000.0,1.68,18446000.0,2011
GA,65000.0,43,2795000.0,196000.0,1.65,4612000.0,2011
HI,9000.0,74,666000.0,246000.0,3.65,2431000.0,2011
ID,87000.0,36,3132000.0,1879000.0,1.78,5575000.0,2011
IL,7000.0,50,350000.0,98000.0,3.9,1365000.0,2011
IN,8000.0,51,408000.0,147000.0,2.14,873000.0,2011
IA,25000.0,62,1550000.0,961000.0,1.96,3038000.0,2011
KS,7000.0,44,308000.0,117000.0,2.15,662000.0,2011
KY,4000.0,39,156000.0,12000.0,3.17,495000.0,2011
LA,36000.0,77,2772000.0,471000.0,1.67,4629000.0,2011
ME,4000.0,30,120000.0,17000.0,1.98,238000.0,2011
MI,74000.0,64,4736000.0,2084000.0,1.81,8572000.0,2011
MN,120000.0,53,6360000.0,2099000.0,1.63,10367000.0,2011
MS,18000.0,115,2070000.0,104000.0,1.53,3167000.0,2011
MO,8000.0,43,344000.0,76000.0,2.14,736000.0,2011
MT,145000.0,92,13340000.0,3202000.0,1.7,22678000.0,2011
NE,41000.0,59,2419000.0,653000.0,1.75,4233000.0,2011
NJ,11000.0,41,451000.0,135000.0,3.7,1669000.0,2011
NM,7000.0,56,392000.0,153000.0,1.69,662000.0,2011
NY,49000.0,56,2744000.0,1235000.0,1.96,5378000.0,2011
NC,14000.0,62,868000.0,95000.0,2.83,2456000.0,2011
ND,460000.0,71,32660000.0,7512000.0,1.67,54542000.0,2011
OH,15000.0,66,990000.0,228000.0,2.34,2317000.0,2011
OR,60000.0,34,2040000.0,755000.0,1.68,3427000.0,2011
PA,24000.0,44,1056000.0,306000.0,2.55,2693000.0,2011
SD,250000.0,66,16500000.0,4290000.0,1.7,28050000.0,2011
TN,7000.0,44,308000.0,68000.0,2.93,902000.0,2011
TX,78000.0,58,4524000.0,633000.0,1.78,8053000.0,2011
UT,23000.0,39,897000.0,170000.0,1.75,1570000.0,2011
VT,4000.0,43,172000.0,43000.0,2.31,397000.0,2011
VA,4000.0,40,160000.0,21000.0,4.07,651000.0,2011
WA,71000.0,38,2698000.0,836000.0,1.93,5207000.0,2011
WV,4000.0,53,212000.0,45000.0,2.57,545000.0,2011
WI,57000.0,63,3591000.0,1508000.0,1.89,6787000.0,2011
WY,35000.0,54,1890000.0,265000.0,1.72,3251000.0,2011
AL,8000.0,54,432000.0,65000.0,2.47,1067000.0,2012
AZ,22000.0,46,1012000.0,253000.0,1.79,1811000.0,2012
AR,25000.0,63,1575000.0,189000.0,1.98,3119000.0,2012
CA,330000.0,35,11550000.0,3119000.0,1.94,22407000.0,2012
CO,25000.0,48,1200000.0,468000.0,2.07,2484000.0,2012
FL,193000.0,64,12352000.0,1235000.0,1.84,22728000.0,2012
GA,59000.0,51,3009000.0,181000.0,1.92,5777000.0,2012
HI,10000.0,75,750000.0,263000.0,4.15,3113000.0,2012
ID,92000.0,32,2944000.0,530000.0,1.63,4799000.0,2012
IL,7000.0,61,427000.0,145000.0,3.55,1516000.0,2012
IN,8000.0,59,472000.0,203000.0,2.54,1199000.0,2012
IA,37000.0,61,2257000.0,1196000.0,2.17,4898000.0,2012
KS,6000.0,55,330000.0,125000.0,2.28,752000.0,2012
KY,5000.0,51,255000.0,41000.0,3.15,803000.0,2012
LA,41000.0,86,3526000.0,141000.0,1.83,6453000.0,2012
ME,4000.0,34,136000.0,24000.0,2.39,325000.0,2012
MI,73000.0,57,4161000.0,1332000.0,2.03,8447000.0,2012
MN,125000.0,67,8375000.0,1591000.0,1.92,16080000.0,2012
MS,18000.0,118,2124000.0,64000.0,1.77,3759000.0,2012
MO,7000.0,53,371000.0,108000.0,2.8,1039000.0,2012
MT,145000.0,52,7540000.0,2413000.0,1.95,14703000.0,2012
NE,43000.0,65,2795000.0,1146000.0,1.93,5394000.0,2012
NJ,14000.0,33,462000.0,51000.0,1.97,910000.0,2012
NM,5000.0,52,260000.0,99000.0,3.39,881000.0,2012
NY,51000.0,51,2601000.0,988000.0,2.23,5800000.0,2012
NC,13000.0,39,507000.0,106000.0,3.76,1906000.0,2012
ND,480000.0,69,33120000.0,5962000.0,1.92,63590000.0,2012
OH,18000.0,60,1080000.0,410000.0,2.46,2657000.0,2012
OR,60000.0,32,1920000.0,845000.0,2.16,4147000.0,2012
PA,16000.0,60,960000.0,269000.0,2.57,2467000.0,2012
SD,260000.0,63,16380000.0,3604000.0,1.95,31941000.0,2012
TN,6000.0,61,366000.0,59000.0,2.93,1072000.0,2012
TX,92000.0,52,4784000.0,718000.0,2.0,9568000.0,2012
UT,25000.0,38,950000.0,209000.0,1.87,1777000.0,2012
VT,4000.0,60,240000.0,53000.0,2.39,574000.0,2012
VA,4000.0,41,164000.0,23000.0,3.77,618000.0,2012
WA,62000.0,41,2542000.0,1017000.0,2.38,6050000.0,2012
WV,6000.0,48,288000.0,95000.0,2.91,838000.0,2012
WI,60000.0,69,4140000.0,1863000.0,2.05,8487000.0,2012
WY,50000.0,51,2550000.0,459000.0,1.87,4769000.0,2012
